Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,158.5,0.945053486,157.7168289,0.050259018,142.8482077,144.7089466,147.576693,152.3753859,157.7168289,163.0682321,167.8929368,170.7839909,172.662978
1,159.5,1.014046108,158.3750929,0.050199837,143.4117718,145.2900346,148.1815319,153.0113368,158.3750929,163.7362982,168.5594402,171.444966,173.3185527
1,160.5,1.085383319,159.034399,0.050125062,143.9787585,145.8745579,148.7896253,153.6497654,159.034399,164.4035075,169.2230883,172.1017957,173.9691164
1,161.5,1.158487278,159.6930501,0.05003418,144.5483179,146.4615117,149.3997554,154.2891719,159.6930501,165.0680948,169.8821678,172.7528491,174.6131123
1,162.5,1.232768816,160.3493168,0.049926861,145.1195552,147.0498421,150.0106525,154.9280091,160.3493168,165.7282823,170.5349712,173.3965112,175.2490052
1,163.5,1.307628899,161.0014586,0.049802977,145.6915401,147.6384567,150.6210083,155.5647003,161.0014586,166.3823042,171.1798224,174.0312083,175.8753066
1,164.5,1.382473225,161.6477515,0.04966261,146.2633119,148.226234,151.2294913,156.1976616,161.6477515,167.0284338,171.8151013,174.6554295,176.490594
1,165.5,1.456720479,162.2865119,0.049506051,146.8338868,148.8120346,151.8347622,156.8253238,162.2865119,167.6650085,172.4392666,175.2677481,177.0935299
1,166.5,1.529810247,162.9161202,0.049333801,147.4022657,149.394712,152.4354895,157.4461523,162.9161202,168.2904522,173.0508762,175.8668393,177.6828795
1,167.5,1.601219573,163.535045,0.049146553,147.9674393,149.9731226,153.0303654,158.0586697,163.535045,168.9032981,173.6486051,176.4514947,178.2575211
1,168.5,1.670433444,164.1418486,0.04894519,148.5284089,150.5461431,153.6181187,158.6614636,164.1418486,169.5021963,174.2312589,177.0206409,178.8164693
1,169.5,1.736995571,164.7352199,0.048730749,149.0841789,151.1126739,154.1975312,159.2532157,164.7352199,170.0859388,174.7977852,177.5733406,179.3588685
1,170.5,1.800483802,165.3139755,0.048504404,149.6337753,151.6716544,154.7674484,159.8327068,165.3139755,170.6534628,175.347281,178.1088034,179.8840066
1,171.5,1.860518777,165.8770715,0.048267442,150.1762526,152.2220718,155.3267913,160.3988301,165.8770715,171.2038574,175.8789961,178.6263873,180.3913154
1,172.5,1.916765525,166.4236087,0.04802123,150.7107013,152.7629701,155.874565,160.9505985,166.4236087,171.7363673,176.392334,179.1255987,180.8803698
